Date,Day,Day #,Top 10 Gross,%± YD,%± LW,Releases,#1 Release,Gross

Nov 15,Friday,320,"$17,683,784",+333.7%,-12.1%,13,Red One,"$10,924,943"
Nov 14,Thursday,319,"$4,077,849",-9.9%,-13.8%,39,Venom: The Last Dance,"$800,104"
Nov 13,Wednesday,318,"$4,524,772",-34.4%,-10.2%,41,Venom: The Last Dance,"$926,820"
Nov 12,Tuesday,317,"$6,902,753",-27.9%,-23.3%,40,Venom: The Last Dance,"$1,513,871"
Nov 11,Monday,316,"$9,580,192",-44.7%,+64.2%,45,Venom: The Last Dance,"$2,505,938"
Nov 10,Sunday,315,"$17,336,865",-29.5%,-4%,42,Venom: The Last Dance,"$4,876,142"
Nov 9,Saturday,314,"$24,599,040",+22.2%,-10.2%,43,Venom: The Last Dance,"$7,101,494"
Nov 8,Friday,313,"$20,122,444",+325.6%,+12.7%,43,The Best Christmas Pageant Ever,"$4,950,596"
Nov 7,Thursday,312,"$4,728,011",-6.2%,-41.7%,45,Venom: The Last Dance,"$1,628,721"
Nov 6,Wednesday,311,"$5,040,702",-44%,-20.3%,43,Venom: The Last Dance,"$1,682,382"
Nov 5,Tuesday,310,"$8,997,604",+54.2%,-9.8%,42,Venom: The Last Dance,"$3,300,694"
Nov 4,Monday,309,"$5,834,775",-67.7%,-14.3%,43,Venom: The Last Dance,"$2,131,745"
Nov 3,Sunday,308,"$18,050,564",-34.1%,-21.2%,46,Venom: The Last Dance,"$7,675,943"
Nov 2,Saturday,307,"$27,389,412",+53.4%,-14.1%,46,Venom: The Last Dance,"$11,617,451"
Nov 1,Friday,306,"$17,850,181",+120%,-48.3%,46,Venom: The Last Dance,"$6,609,372"
Oct 31,Thursday,305,"$8,114,488",+28.3%,+89%,43,Venom: The Last Dance,"$2,802,359"
Oct 30,Wednesday,304,"$6,324,766",-36.6%,+23.3%,41,Venom: The Last Dance,"$2,471,828"
Oct 29,Tuesday,303,"$9,973,331",+46.4%,+32.9%,44,Venom: The Last Dance,"$4,605,136"
Oct 28,Monday,302,"$6,810,895",-70.3%,+28.6%,43,Venom: The Last Dance,"$3,055,703"
Oct 27,Sunday,301,"$22,897,173",-28.2%,+47%,43,Venom: The Last Dance,"$12,168,397"
Oct 26,Saturday,300,"$31,900,817",-7.5%,+33.6%,43,Venom: The Last Dance,"$16,820,420"
Oct 25,Friday,299,"$34,493,840",+703.2%,+61.9%,43,Venom: The Last Dance,"$22,023,587"
Oct 24,Thursday,298,"$4,294,393",-16.3%,-12.1%,45,Smile 2,"$1,494,499"
Oct 23,Wednesday,297,"$5,131,533",-31.6%,-4.8%,45,Smile 2,"$1,866,641"
Oct 22,Tuesday,296,"$7,506,789",+41.8%,-2.6%,44,Smile 2,"$2,929,052"
Oct 21,Monday,295,"$5,294,173",-66%,-53.5%,45,Smile 2,"$2,002,121"
Oct 20,Sunday,294,"$15,577,571",-34.7%,-16.8%,44,Smile 2,"$5,401,822"
Oct 19,Saturday,293,"$23,871,459",+12.1%,-0.2%,46,Smile 2,"$8,121,308"
Oct 18,Friday,292,"$21,301,082",+335.9%,-6.4%,45,Smile 2,"$9,498,562"
Oct 17,Thursday,291,"$4,887,100",-9.3%,+6.3%,41,Terrifier 3,"$1,456,137"
Oct 16,Wednesday,290,"$5,391,067",-30.1%,+13.3%,40,Terrifier 3,"$1,724,080"
Oct 15,Tuesday,289,"$7,707,770",-32.3%,-1.7%,41,Terrifier 3,"$2,204,219"
Oct 14,Monday,288,"$11,380,515",-39.2%,+96%,42,The Wild Robot,"$3,506,865"
Oct 13,Sunday,287,"$18,725,822",-21.7%,-3.2%,44,Terrifier 3,"$4,810,822"
Oct 12,Saturday,286,"$23,909,753",+5.1%,-21.8%,44,Terrifier 3,"$5,918,015"
Oct 11,Friday,285,"$22,760,054",+395.1%,-30.2%,44,Terrifier 3,"$8,199,276"
Oct 10,Thursday,284,"$4,596,627",-3.4%,-15.5%,39,The Wild Robot,"$1,448,720"
Oct 9,Wednesday,283,"$4,757,266",-39.3%,-11.2%,38,The Wild Robot,"$1,281,615"
Oct 8,Tuesday,282,"$7,841,164",+35.1%,-1.3%,39,Joker: Folie à Deux,"$2,640,433"
Oct 7,Monday,281,"$5,806,075",-70%,-1.3%,40,Joker: Folie à Deux,"$1,827,163"
Oct 6,Sunday,280,"$19,340,556",-36.8%,-16.8%,46,Joker: Folie à Deux,"$6,161,380"
Oct 5,Saturday,279,"$30,580,036",-6.2%,-9.7%,46,Joker: Folie à Deux,"$11,259,615"
Oct 4,Friday,278,"$32,606,600",+499.4%,+17.1%,46,Joker: Folie à Deux,"$20,257,472"
Oct 3,Thursday,277,"$5,439,446",+1.5%,+20.1%,40,The Wild Robot,"$2,251,820"
Oct 2,Wednesday,276,"$5,359,505",-32.5%,+1.4%,39,The Wild Robot,"$1,822,355"
Oct 1,Tuesday,275,"$7,944,666",+35%,-0.7%,39,The Wild Robot,"$3,123,780"
Sep 30,Monday,274,"$5,883,145",-74.7%,+9.7%,39,The Wild Robot,"$2,295,955"
Sep 29,Sunday,273,"$23,252,306",-31.3%,+18.4%,43,The Wild Robot,"$10,187,635"
Sep 28,Saturday,272,"$33,862,387",+21.6%,+9.6%,44,The Wild Robot,"$14,405,440"
Sep 27,Friday,271,"$27,839,627",+514.7%,+15.2%,43,The Wild Robot,"$11,197,075"
